Rank,Player,Gold,Silver,Bronze,S Tier,Earnings,medals
1,zombs,13,5,1,1,"$113,550",20
2,ShahZaM,13,4,1,1,"$113,450",19
3,dapr,14,3,1,1,"$112,870",19
4,SicK,12,3,1,1,"$112,650",17
5,cNed,12,4,2,1,"$107,735",19
6,starxo,12,4,1,1,"$104,394",18
7,Kiles,6,4,2,1,"$104,093",13
8,nAts,14,6,0,1,"$103,829",21
9,Chronicle,13,6,0,1,"$103,574",20
10,d3ffo,12,4,2,1,"$102,773",19
11,Sheydos,10,4,0,1,"$102,626",15
12,BONECOLD,5,1,1,1,"$101,918",8
13,Redgar,9,4,1,1,"$101,115",15
14,zeek,13,4,1,1,"$94,754",19
15,TenZ,8,4,3,1,"$92,750",16
16,ScreaM,15,9,2,0,"$70,399",26
17,soulcas,11,5,3,0,"$68,163",19
18,L1NK,11,5,2,0,"$68,083",18
19,mixwell,17,5,1,0,"$60,855",23
20,crashies,3,5,2,0,"$60,250",10
21,Victor,3,3,2,0,"$59,250",8
22,FNS,6,6,2,0,"$58,120",14
23,Marved,1,4,1,0,"$54,950",6
24,Jamppi,4,1,0,0,"$53,980",5
25,Rb,19,1,0,0,"$51,200",20
26,stax,18,1,1,0,"$50,477",20
27,AvovA,11,3,2,0,"$48,903",16
28,Asuna,2,5,6,0,"$48,570",13
29,k1Ng,17,2,0,0,"$48,469",19
30,ardiis,18,0,0,0,"$48,424",18
31,Boaster,5,5,2,0,"$48,061",12
32,Mistic,5,6,2,0,"$47,905",13
33,nukkye,6,3,1,0,"$47,557",10
34,Derke,1,3,3,0,"$46,685",7
35,Hiko,6,4,2,0,"$45,750",12
36,yay,4,5,2,0,"$44,600",11
37,Doma,5,6,1,0,"$43,977",12
38,nitr0,2,3,2,0,"$43,800",7
39,Magnum,7,6,2,0,"$42,531",15
40,Kryptix,9,5,3,0,"$42,375",17
41,NagZ,13,5,2,0,"$41,980",20
42,steel,3,3,2,0,"$41,550",8
43,koldamenta,2,7,3,0,"$41,514",12
44,vanity,5,1,1,0,"$40,700",7
45,Lakia,3,3,2,0,"$39,316",8
46,Laz,11,5,1,0,"$38,480",17
47,delz1k,8,4,0,0,"$38,350",12
48,Mazino,7,3,1,0,"$38,200",11
48,Klaus,6,3,1,0,"$38,200",10
50,mitch,6,5,5,0,"$37,610",16
51,Zest,17,0,0,0,"$37,341",17
52,xeta,6,5,3,0,"$36,069",14
53,ANGE1,11,5,0,0,"$35,806",16
54,keznit,7,3,0,0,"$35,800",10
55,Ethan,1,3,2,0,"$35,400",6
56,Zyppan,8,6,2,0,"$35,335",16
57,hazed,13,5,2,0,"$33,985",20
58,Davidp,10,6,2,0,"$33,722",18
59,Reita,9,3,2,0,"$33,133",14
60,leaf,4,2,2,0,"$33,060",8
61,pAura,11,6,0,0,"$32,166",17
62,Wardell,16,4,2,0,"$31,260",22
63,pyth,10,2,1,0,"$31,096",13
64,Saadhak,16,1,1,0,"$30,575",18
65,sScary,12,5,1,0,"$30,066",18
66,SUYGETSU,10,2,1,0,"$29,407",13
67,crow,9,3,2,0,"$29,367",14
68,Crws,12,2,2,0,"$29,246",16
69,sushiboys,11,3,2,0,"$29,231",16
70,keloqz,1,2,1,0,"$29,226",4
71,foxz,11,2,1,0,"$29,083",14
72,paTiTek,11,3,0,0,"$29,046",14
73,Subroza,13,4,2,0,"$27,960",19
74,takej,8,3,1,0,"$27,796",12
75,barce,8,3,2,0,"$27,732",13
76,effys,7,4,2,0,"$27,675",13
77,Suggest,2,3,1,0,"$27,118",6
77,allow,2,3,1,0,"$27,118",6
79,peri,2,2,1,0,"$26,891",5
80,Sacy,4,1,1,0,"$26,607",6
81,Nivera,2,0,0,0,"$26,561",2
82,AYRIN,12,6,2,0,"$26,350",20
83,BuZz,3,3,0,0,"$26,248",6
84,Xeppaa,3,0,1,0,"$26,100",4
