Rank,Team,Gold,Silver,Bronze,S Tier,Earnings,tournaments won
1,Sentinels,12,3,1,1,"$561,500",17
2,Acend,5,1,1,1,"$498,859",8
3,Gambit Esports,8,3,0,1,"$495,638",12
4,Team Liquid,4,2,2,0,"$295,374",8
5,G2 Esports,7,2,1,0,"$257,925",10
6,Team Envy,2,2,2,0,"$251,500",6
7,100 Thieves,2,3,2,0,"$225,000",7
8,Vision Strikers,17,0,0,0,"$224,149",17
9,Fnatic,1,2,2,0,"$210,888",5
10,KRÜ Esports,7,3,1,0,"$191,000",11
11,Cloud9,6,5,5,0,"$186,800",16
12,FunPlus Phoenix,4,2,0,0,"$165,972",6
13,ZETA DIVISION,9,3,1,0,"$146,786",13
14,NUTURN Gaming,2,1,1,0,"$128,793",4
15,TSM,9,2,0,0,"$126,250",11
16,X10 CRIT,9,1,1,0,"$116,307",11
17,Team Vikings,3,0,0,0,"$108,747",3
18,XSET,3,2,1,0,"$108,250",6
19,Velocity Gaming,19,8,4,0,"$106,479",31
20,FaZe Clan,2,3,0,0,"$103,250",5
21,Crazy Raccoon,3,3,0,0,"$102,100",6
22,Team Heretics,6,1,0,0,"$97,745",7
23,Version1,2,1,0,0,"$96,375",3
24,Paper Rex,10,5,1,0,"$91,522",16
25,Gen.G Esports,4,4,2,0,"$86,500",10
26,BBL Esports,3,1,0,0,"$82,983",4
27,Futbolist,5,1,3,0,"$81,687",9
28,forZe,10,3,2,0,"$79,376",15
29,Global Esports,18,7,2,0,"$76,498",27
30,FURIA Esports,1,1,2,0,"$73,968",4
31,Guild Esports,0,4,1,0,"$73,897",5
32,Luminosity Gaming,2,2,4,0,"$73,750",8
33,Anubis Gaming,11,3,0,0,"$72,615",14
34,Ninjas in Pyjamas,4,2,2,0,"$72,097",8
35,Gamelanders Blue,8,3,0,0,"$71,199",11
36,FULL SENSE,7,3,1,0,"$68,526",11
37,Bren Esports,13,2,0,0,"$63,308",15
38,BOOM Esports,9,6,2,0,"$62,092",17
39,Cloud9 White,4,0,0,0,"$61,500",4
40,NRG,1,3,1,0,"$60,375",5
41,Immortals,1,2,5,0,"$58,500",8
42,Keyd Stars,4,2,1,0,"$55,989",7
43,The Guard,2,0,0,0,"$54,250",2
44,TNL Esports,1,1,0,0,"$52,735",2
45,Oxygen Esports,1,6,1,0,"$51,597",8
46,Australs,6,4,0,0,"$50,561",10
47,SuperMassive Blaze,1,1,0,0,"$47,731",2
48,Shopify Rebellion,4,2,2,0,"$46,400",8
49,E-Xolos LAZER,5,5,3,0,"$45,517",13
50,Liberty,2,2,0,0,"$44,321",4
51,Rise,3,2,1,0,"$43,400",6
52,Giants,6,4,1,0,"$42,976",11
53,Team RA'AD,7,5,3,0,"$42,953",15
54,DAMWON Gaming,0,1,1,0,"$42,826",2
55,Team Secret,0,1,0,0,"$42,745",1
56,Alter Ego,7,5,4,0,"$42,237",16
57,Enigma Gaming,5,7,7,0,"$41,648",19
58,Sharks Esports,0,1,0,0,"$40,003",1
59,One Breath Gaming,8,5,0,0,"$38,131",13
60,fish123,7,2,0,0,"$37,789",9
61,Gamelanders Purple,14,2,1,0,"$36,997",17
62,Team Singularity,1,3,1,0,"$36,700",5
63,Infinity,11,4,2,0,"$35,918",17
64,ORDER,6,3,0,0,"$35,831",9
65,Dignitas Female,3,2,2,0,"$35,800",7
66,Counter Logic Gaming Red,3,3,2,0,"$35,100",8
67,CERBERUS Esports,3,2,3,0,"$34,930",8
68,F4Q,0,1,0,0,"$34,545",1
69,BIG,19,3,1,0,"$34,360",23
