,Team,Rank,S Tier
0,Sentinels,1,1
1,Acend,2,1
2,Gambit Esports,3,1
3,Team Liquid,4,0
4,G2 Esports,5,0
5,Team Envy,6,0
6,100 Thieves,7,0
7,Vision Strikers,8,0
8,Fnatic,9,0
9,KRÜ Esports,10,0
10,Cloud9,11,0
11,FunPlus Phoenix,12,0
12,ZETA DIVISION,13,0
13,NUTURN Gaming,14,0
14,TSM,15,0
15,X10 CRIT,16,0
16,Team Vikings,17,0
17,XSET,18,0
18,Velocity Gaming,19,0
19,FaZe Clan,20,0
20,Crazy Raccoon,21,0
21,Team Heretics,22,0
22,Version1,23,0
23,Paper Rex,24,0
24,Gen.G Esports,25,0
25,BBL Esports,26,0
26,Futbolist,27,0
27,forZe,28,0
28,Global Esports,29,0
29,FURIA Esports,30,0
30,Guild Esports,31,0
31,Luminosity Gaming,32,0
32,Anubis Gaming,33,0
33,Ninjas in Pyjamas,34,0
34,Gamelanders Blue,35,0
35,FULL SENSE,36,0
36,Bren Esports,37,0
37,BOOM Esports,38,0
38,Cloud9 White,39,0
39,NRG,40,0
40,Immortals,41,0
41,Keyd Stars,42,0
42,The Guard,43,0
43,TNL Esports,44,0
44,Oxygen Esports,45,0
45,Australs,46,0
46,SuperMassive Blaze,47,0
47,Shopify Rebellion,48,0
48,E-Xolos LAZER,49,0
49,Liberty,50,0
50,Rise,51,0
51,Giants,52,0
52,Team RA'AD,53,0
53,DAMWON Gaming,54,0
54,Team Secret,55,0
55,Alter Ego,56,0
56,Enigma Gaming,57,0
57,Sharks Esports,58,0
58,One Breath Gaming,59,0
59,fish123,60,0
60,Gamelanders Purple,61,0
61,Team Singularity,62,0
62,Infinity,63,0
63,ORDER,64,0
64,Dignitas Female,65,0
65,Counter Logic Gaming Red,66,0
66,CERBERUS Esports,67,0
67,F4Q,68,0
68,BIG,69,0
69,TENSTAR Nova,70,0
70,NYFU,71,0
71,OpTic Gaming,72,0
72,G2 Gozen,73,0
73,ahq e-Sports Club,74,0
74,TSM X,75,0
75,Renegades,76,0
76,Team SMG,77,0
77,Attack All Around,78,0
78,GMT Esports,79,0
79,T1,80,0
80,Team Exploit,81,0
81,NASR Esports,82,0
82,XERXIA,83,0
83,Alliance,84,0
84,Knights,85,0
85,Piercer Esports,86,0
86,South Built Esports,87,0
87,SUMN FC,88,0
88,Wave Esports,89,0
89,CrowCrowd,90,0
90,MAJKL,91,0
91,DRX,92,0
92,Team Vitality,93,0
93,DfuseTeam,94,0
94,Guild X,95,0
95,Bleed eSports,96,0
96,Made in Thailand,97,0
97,Fox Gaming,98,0
98,Complexity Gaming,99,0
99,LDN UTD,100,0
100,TENSTAR,101,0
101,Team Big BAAM,102,0
102,LDM Esports,103,0
103,B4 Angels,104,0
104,Oxxgen Esports,105,0
105,Leviatán,106,0
106,9z Team,107,0
107,Team BDS,108,0
108,LOUD,109,0
109,Team nxl,110,0
110,Mamba Mode Gaming,111,0
111,World Game Star,112,0
112,Alter Ego Celestè,113,0
113,Estral Esports,114,0
114,CBT Gaming,115,0
115,paiN Gaming,116,0
116,Natus Vincere,117,0
117,T1 Korea,118,0
118,Fire Flux Esports,119,0
119,SCARZ,120,0
120,Cloud9 Korea,121,0
121,Sharper Esport,122,0
122,Six Karma,123,0
123,Totoro Gaming,124,0
124,Pioneers,125,0
125,Liberty Female,126,0
126,Prince,127,0
127,YaLLa Esports,128,0
128,China Nguyen,129,0
129,Movistar Riders,130,0
130,Opportunists,131,0
131,On Sla2ers,132,0
132,Team XO,133,0
133,UCAM Esports Club,134,0
134,need more DM,135,0
135,Akrew,136,0
136,Built By Gamers,137,0
137,nolpenki,138,0
138,BlackBird Ignis,139,0
139,Action PH,140,0
140,Rare Esports,141,0
141,Fancy United Esports,142,0
142,EZ5,143,0
143,Ballista Esports,144,0
144,REJECT,145,0
145,EXO Clan,146,0
146,HEET,147,0
147,Royal Never Give Up,148,0
148,INGAMING Esports,149,0
149,Evil Geniuses,150,0
150,Team Majesty,151,0
151,ownage,152,0
152,OtherSide Esports,153,0
153,Susquehanna Soniqs,154,0
154,University of Houston Premiere,155,0
155,FAV gaming,156,0
156,Tales of Eastern,157,0
157,Cyber Skull Esports,158,0
158,IVY,159,0
159,Border Monsters,160,0
160,Pretty Boyz,160,0
161,Kingsmen,162,0
162,Big Frames,163,0
163,StartedFromCS,164,0
164,Elysium,165,0
165,iPon Esport,166,0
166,Mindfreak,167,0
167,VALORANDO,168,0
168,Ghost Gaming,169,0
169,Bottom Fraggers,170,0
170,Wygers Argentina,171,0
171,SLICK,172,0
172,HypHypHyp,173,0
173,Phoenix1,174,0
174,Anonymo Esports,175,0
175,aNg DarkHorse,176,0
176,Raise Your Edge Gaming,177,0
177,mouseSpaz,178,0
178,Imperial Esports,179,0
179,Rix.GG Lightning,180,0
180,FUSION,181,0
181,Way 2 French,181,0
182,For The Win Esports,183,0
183,SoaR,184,0
184,Lag Gaming,185,0
185,Wildcard Gaming,186,0
186,F1 x LS Esports,187,0
187,Bonk,188,0
188,Todak,189,0
189,Samurai Esports,190,0
190,THOSE GUYS,191,0
191,Team Finest,192,0
192,Prospects,193,0
193,Stars Horizon,194,0
194,AWARIA,195,0
195,XSET Female,196,0
196,Furious Gaming,197,0
197,Sengoku Gaming,198,0
198,CGN Esports,199,0
199,FishkaVTom,200,0
200,İstanbul Wildcats,201,0
201,Reckoning Esports,202,0
202,Purple Cobras,203,0
203,Excel Esports,204,0
204,PartyParrots,205,0
205,Moon Raccoons,206,0
206,APEX PEOPLE,207,0
207,PENTA,208,0
208,Oasis Gaming,209,0
209,Stars Horizon Vênus,210,0
210,ROX TEAM,211,0
211,tyeasy,212,0
212,Echo 8,213,0
213,DivisionX Gaming,214,0
214,KOVA,215,0
215,B4 Esports,216,0
216,DetonatioN Gaming,217,0
217,True Rippers Esports,217,0
218,Zero Zone,219,0
219,Moon Raccoons Black,220,0
220,Dignitas,220,0
221,Keyd Stars Athenas,222,0
222,Divinity,223,0
223,Anatolia Esports,224,0
224,Spot Up,225,0
225,Only One Word,226,0
226,Nigma Galaxy,227,0
227,TSM Academy,228,0
228,Nigma Galaxy Female,229,0
229,Kafalar Esports,230,0
230,EDward Gaming,231,0
231,3BL Esports,232,0
232,Vorax,233,0
233,Team Underrated,234,0
234,together we are terrific,234,0
235,Team Bliss,236,0
236,TBK Esports,237,0
237,Ovation eSports,238,0
238,KPI Gaming,239,0
239,Noble,240,0
240,NG.Black,241,0
241,KaiXin Esports,242,0
242,FS Esports,243,0
243,Geekay Esports,244,0
244,Overtime Esports,245,0
245,HSDIRR,246,0
246,Team Launch,247,0
247,Digital Athletics,248,0
248,Thunderbolts Gaming,249,0
249,GodLike Esports,250,0
