,Rank,Player,Gold,Silver,Bronze,S Tier,Earnings,medals
0,1,zombs,13,5,1,1,113550,20
1,2,ShahZaM,13,4,1,1,113450,19
2,3,dapr,14,3,1,1,112870,19
3,4,SicK,12,3,1,1,112650,17
4,5,cNed,12,4,2,1,107735,19
5,6,starxo,12,4,1,1,104394,18
6,7,Kiles,6,4,2,1,104093,13
7,8,nAts,14,6,0,1,103829,21
8,9,Chronicle,13,6,0,1,103574,20
9,10,d3ffo,12,4,2,1,102773,19
10,11,Sheydos,10,4,0,1,102626,15
11,12,BONECOLD,5,1,1,1,101918,8
12,13,Redgar,9,4,1,1,101115,15
13,14,zeek,13,4,1,1,94754,19
14,15,TenZ,8,4,3,1,92750,16
15,16,ScreaM,15,9,2,0,70399,26
16,17,soulcas,11,5,3,0,68163,19
17,18,L1NK,11,5,2,0,68083,18
18,19,mixwell,17,5,1,0,60855,23
19,20,crashies,3,5,2,0,60250,10
20,21,Victor,3,3,2,0,59250,8
21,22,FNS,6,6,2,0,58120,14
22,23,Marved,1,4,1,0,54950,6
23,24,Jamppi,4,1,0,0,53980,5
24,25,Rb,19,1,0,0,51200,20
25,26,stax,18,1,1,0,50477,20
26,27,AvovA,11,3,2,0,48903,16
27,28,Asuna,2,5,6,0,48570,13
28,29,k1Ng,17,2,0,0,48469,19
29,30,ardiis,18,0,0,0,48424,18
30,31,Boaster,5,5,2,0,48061,12
31,32,Mistic,5,6,2,0,47905,13
32,33,nukkye,6,3,1,0,47557,10
33,34,Derke,1,3,3,0,46685,7
34,35,Hiko,6,4,2,0,45750,12
35,36,yay,4,5,2,0,44600,11
36,37,Doma,5,6,1,0,43977,12
37,38,nitr0,2,3,2,0,43800,7
38,39,Magnum,7,6,2,0,42531,15
39,40,Kryptix,9,5,3,0,42375,17
40,41,NagZ,13,5,2,0,41980,20
41,42,steel,3,3,2,0,41550,8
42,43,koldamenta,2,7,3,0,41514,12
43,44,vanity,5,1,1,0,40700,7
44,45,Lakia,3,3,2,0,39316,8
45,46,Laz,11,5,1,0,38480,17
46,47,delz1k,8,4,0,0,38350,12
47,48,Mazino,7,3,1,0,38200,11
48,48,Klaus,6,3,1,0,38200,10
